customer_id,customer_name,region,contract_type,service_type,churned
C00199,Iris Davis,North,Annual,Electricity + Water,0
C00200,Beth Jackson,Central,2-Year,Electricity,0
C00201,Frank Martin,East,Annual,Electricity + Gas,0
C00202,Wendy Johnson,North,Monthly,Water,0
C00203,Ethan Thomas,Central,Annual,Electricity,1
C00204,Frank Johnson,South,Annual,Water,0
C00205,Diana Johnson,North,Monthly,Electricity + Gas,1
C00206,Liam Thomas,North,Monthly,Water,1
C00207,Fiona Brown,East,Annual,Water,0
C00208,Karen Miller,South,2-Year,Electricity,0
C00209,Yara Johnson,Central,Monthly,Water,0
C00210,Grace Smith,North,Monthly,Gas,0
C00211,Fiona Brown,East,Monthly,Gas,0
C00212,James Thomas,North,Annual,Electricity + Water,1
C00213,Grace Anderson,East,Monthly,Water,1
C00214,Olivia Thompson,East,Annual,Gas,0
C00215,Liam Williams,North,Monthly,Gas,1
C00216,Fiona Clark,Central,Annual,Electricity,0
C00217,Beth Wilson,Central,Annual,Electricity,0
C00218,Quinn Thomas,Central,Annual,Gas,0
C00219,Ethan Miller,Central,Annual,Electricity + Gas,0
C00220,Uma White,South,Annual,Water,0
C00221,Quinn Jones,East,Annual,Gas,0
C00222,James Miller,South,2-Year,Electricity + Water,0
C00223,Noah Jones,North,2-Year,Gas,0
C00224,James Garcia,South,Annual,Electricity + Water,0
C00225,Bob Clark,West,Monthly,Electricity,0
C00226,Grace Lewis,East,Annual,Water,0
C00227,Sam Wilson,North,2-Year,Electricity,0
C00228,James Anderson,West,Monthly,Electricity + Gas,0
C00229,James Clark,Central,Annual,Electricity + Gas,0
C00230,Liam Garcia,Central,Annual,Electricity,1
C00231,Wendy Thomas,South,Annual,Electricity,0
C00232,David Thomas,South,Annual,Electricity + Gas,1
C00233,Liam Lewis,West,Monthly,Water,0
C00234,Victor Miller,Central,Annual,Gas,0
C00235,Xander Clark,East,Monthly,Water,0
C00236,David Thomas,West,2-Year,Gas,0
C00237,Paul Clark,East,Annual,Electricity,1
C00238,Ethan Davis,Central,Monthly,Gas,1
C00239,Emma Clark,South,Monthly,Gas,0
C00240,Henry Thompson,South,Annual,Electricity + Water,0
C00241,David Wilson,North,Annual,Gas,0
C00242,Zach Harris,South,Annual,Electricity + Gas,0
C00243,Rachel Brown,North,2-Year,Water,1
C00244,Paul Smith,North,Annual,Gas,1
C00245,Fiona Taylor,East,Annual,Electricity + Gas,0
C00246,Olivia Thompson,East,Annual,Water,0
C00247,Tina Brown,South,2-Year,Electricity + Water,0
C00248,Uma Jones,South,Annual,Water,1
C00249,Alice Williams,East,Annual,Electricity + Water,0
C00250,Olivia Thomas,Central,Annual,Electricity,0
C00251,Liam Thomas,North,Monthly,Water,0
C00252,David Martin,West,Annual,Electricity + Gas,0
C00253,Sam Thomas,North,Annual,Electricity + Gas,0
C00254,Olivia Robinson,Central,Annual,Water,0
C00255,Ethan Anderson,South,2-Year,Electricity + Gas,0
C00256,Yara Williams,West,Annual,Gas,0
C00257,Uma Wilson,West,Monthly,Electricity + Water,0
C00258,Ethan Johnson,South,2-Year,Electricity + Gas,0
C00259,Xander Taylor,South,Annual,Electricity + Gas,0
C00260,Quinn Robinson,East,Monthly,Electricity,0
C00261,Emma Garcia,North,Monthly,Water,0
C00262,Emma Anderson,West,Monthly,Gas,0
C00263,Frank Jackson,North,2-Year,Electricity + Water,0
C00264,Rachel Williams,West,Annual,Electricity + Gas,1
C00265,Emma Robinson,West,Annual,Electricity + Water,0
C00266,Victor Taylor,West,Monthly,Electricity + Gas,1
C00267,Beth Wilson,Central,Annual,Electricity + Gas,0
C00268,Bob Robinson,North,2-Year,Water,0
C00269,Frank Robinson,South,Annual,Water,0
C00270,Yara Robinson,South,Annual,Electricity + Water,0
C00271,Noah Robinson,Central,Annual,Electricity + Water,0
C00272,Uma White,North,Annual,Water,0
C00273,Fiona Anderson,North,Annual,Electricity,0
C00274,Liam Johnson,South,Annual,Electricity,0
C00275,Ethan Smith,South,Monthly,Gas,0
C00276,Iris Smith,West,Annual,Gas,0
C00277,Quinn Garcia,South,Monthly,Electricity + Gas,0
C00278,Beth Garcia,South,Annual,Electricity + Water,0
C00279,Alice Williams,South,2-Year,Gas,0
C00280,Fiona Brown,North,Annual,Water,0
C00281,Iris Williams,East,Monthly,Gas,0
C00282,James Moore,Central,Monthly,Electricity + Water,0
C00283,Emma Miller,South,Annual,Electricity + Gas,1
C00284,Paul Jackson,North,Annual,Gas,0
C00285,Zach White,South,2-Year,Electricity + Water,0
C00286,Diana Thomas,South,Annual,Electricity + Water,1
C00287,Carol Robinson,South,Monthly,Gas,0
C00288,Ethan Miller,North,Annual,Electricity + Gas,0
C00289,Emma Garcia,Central,Monthly,Electricity + Gas,0
C00290,Beth Harris,Central,Monthly,Electricity + Gas,0
C00291,Ethan Davis,North,Monthly,Electricity + Gas,0
C00292,Frank Lewis,South,Monthly,Electricity + Water,1
C00293,Liam Jones,East,Annual,Water,0
C00294,Cole Clark,South,Monthly,Electricity + Gas,0
C00295,Yara Smith,West,Annual,Electricity + Water,0
C00296,Diana Taylor,Central,Monthly,Electricity + Gas,0
C00297,Ethan Clark,South,2-Year,Electricity + Water,1
C00298,Adrian Anderson,East,Annual,Water,0
C00299,Paul Clark,South,Annual,Gas,0
C00300,Noah Clark,Central,Annual,Water,0
C00301,Tina Miller,South,Monthly,Water,0
C00302,Henry Lewis,West,Monthly,Gas,0
C00303,Frank Clark,East,Monthly,Electricity + Gas,1
C00304,Yara Taylor,South,Monthly,Gas,0
C00305,Tina Miller,North,Annual,Water,1
C00306,Bob Martin,South,Annual,Electricity,0
C00307,Victor Garcia,Central,Annual,Electricity,0
C00308,Olivia Brown,East,2-Year,Electricity + Gas,0
C00309,James Johnson,West,Monthly,Water,0
C00310,Karen Brown,East,Monthly,Electricity + Gas,0
C00311,Emma Anderson,East,Monthly,Water,0
C00312,Bob Anderson,East,Monthly,Gas,1
C00313,Fiona Thomas,South,Annual,Electricity,0
C00314,Rachel Moore,East,Monthly,Electricity + Gas,0
C00315,Diana Moore,East,Monthly,Electricity + Gas,0
C00316,Ethan Smith,Central,Monthly,Electricity,0
C00317,David Smith,South,Annual,Electricity + Gas,0
C00318,Iris Jackson,East,Annual,Electricity + Gas,0
C00319,Diana Thomas,West,2-Year,Electricity + Gas,1
C00320,Tina Moore,South,2-Year,Water,0
C00321,Beth Harris,East,Annual,Electricity,0
C00322,Zach Moore,West,2-Year,Water,0
C00323,Cole Robinson,South,Monthly,Gas,0
C00324,Cole Moore,Central,Annual,Water,0
C00325,Frank Jackson,North,Annual,Water,1
C00326,Mia Thomas,South,2-Year,Gas,0
C00327,Wendy Jackson,South,Monthly,Electricity + Water,1
C00328,Carol Wilson,Central,Annual,Electricity + Water,0
C00329,Victor Johnson,East,Monthly,Gas,0
C00330,Bob Jackson,Central,Annual,Electricity + Water,0
C00331,Paul Anderson,South,Monthly,Electricity + Gas,0
C00332,Uma Davis,South,2-Year,Electricity + Water,0
C00333,Ethan Miller,Central,2-Year,Water,0
C00334,Carol Robinson,South,Monthly,Electricity,0
C00335,Yara Wilson,North,2-Year,Gas,1
C00336,Beth Lewis,West,Monthly,Electricity,0
C00337,Liam White,Central,Annual,Electricity + Water,0
C00338,Cole Williams,West,2-Year,Water,1
C00339,Henry Clark,North,Annual,Electricity + Water,0
C00340,Wendy Jones,West,Monthly,Electricity + Gas,0
C00341,Yara Davis,South,Monthly,Electricity,0
C00342,Uma Miller,North,Monthly,Gas,0
C00343,David Anderson,Central,Monthly,Gas,1
C00344,Diana Smith,West,Monthly,Electricity,0
C00345,Liam Anderson,Central,Annual,Electricity + Gas,0
C00346,Wendy Brown,Central,Annual,Electricity,0
C00347,Karen Martin,West,Monthly,Gas,0
C00348,Karen White,South,Monthly,Water,1
C00349,Adrian Miller,South,Monthly,Electricity + Water,0
C00350,Beth Moore,North,Annual,Electricity + Gas,0
C00351,Paul Williams,West,Monthly,Water,0
C00352,Uma Lewis,West,Annual,Electricity + Gas,0
C00353,Sam Martin,Central,Monthly,Electricity + Gas,0
C00354,Victor Lewis,North,2-Year,Gas,1
C00355,Zach Anderson,Central,Annual,Electricity + Water,1
C00356,Sam Jackson,South,Monthly,Gas,0
C00357,Beth Davis,East,Monthly,Electricity + Water,0
C00358,Tina Taylor,North,Annual,Water,0
C00359,Quinn Moore,North,2-Year,Electricity + Water,0
C00360,Olivia Moore,South,Annual,Electricity,0
C00361,Quinn Williams,Central,Annual,Electricity + Gas,1
C00362,Tina Lewis,West,Monthly,Electricity + Water,0
C00363,Henry Thomas,North,Annual,Gas,0
C00364,Paul Lewis,South,2-Year,Gas,0
C00365,Paul Wilson,East,Annual,Water,0
C00366,Rachel Robinson,East,Monthly,Electricity + Water,0
C00367,Cole Moore,East,Annual,Gas,0
C00368,Olivia Robinson,West,Annual,Electricity + Gas,0
C00369,Rachel Jackson,East,2-Year,Water,0
C00370,Quinn Smith,East,Annual,Electricity + Water,0
C00371,Karen Jones,East,Annual,Water,0
C00372,Olivia Johnson,Central,Annual,Electricity + Water,0
C00373,Victor Martin,West,Monthly,Gas,0
C00374,Adrian Jones,South,Monthly,Electricity + Water,0
C00375,Ethan Miller,West,Monthly,Gas,0
C00376,Rachel Brown,Central,Monthly,Gas,0
C00377,Paul Garcia,West,Annual,Gas,0
C00378,Grace Smith,South,Annual,Electricity,1
C00379,Cole Jones,South,Monthly,Electricity + Gas,1
C00380,David Garcia,West,Monthly,Water,0
C00381,Henry Harris,North,2-Year,Electricity + Water,0
C00382,Carol Harris,East,Monthly,Gas,0
C00383,Uma Moore,Central,Annual,Water,0
C00384,Wendy Miller,South,2-Year,Gas,0
C00385,Sam Clark,South,Annual,Gas,0
C00386,Adrian Anderson,South,Annual,Gas,0
C00387,Victor Harris,Central,Annual,Gas,0
C00388,Iris Jones,North,Annual,Water,0
C00389,Carol Davis,North,Annual,Gas,0
C00390,Alice Johnson,West,Annual,Electricity + Water,1
C00391,Tina Wilson,East,Annual,Water,1
C00392,Beth Moore,North,2-Year,Electricity,0
C00393,Yara Williams,West,2-Year,Water,0
C00394,James Lewis,West,Monthly,Electricity + Water,0
C00395,Olivia Robinson,East,Annual,Gas,0
C00396,David Smith,North,Monthly,Water,0
C00397,James Anderson,North,Monthly,Water,0
C00398,Grace Jones,East,Monthly,Gas,1
C00399,Henry Miller,Central,Monthly,Electricity + Gas,1
C00400,Diana Taylor,North,Monthly,Water,1
C00401,Zach Anderson,West,2-Year,Gas,0
C00402,Zach Miller,South,Annual,Electricity + Gas,1
C00403,Victor Robinson,West,Monthly,Electricity + Water,0
C00404,Victor Clark,West,Annual,Electricity + Water,0
C00405,Ethan Smith,Central,Annual,Electricity + Water,1
C00406,Beth Williams,Central,2-Year,Water,0
C00407,Noah Williams,South,Monthly,Electricity + Water,0
C00408,Quinn Anderson,Central,Annual,Electricity + Gas,0
C00409,Tina Miller,East,Monthly,Electricity,0
C00410,Quinn Taylor,Central,Monthly,Electricity,1
C00411,Zach Thomas,East,Monthly,Electricity + Water,1
C00412,Olivia Williams,South,2-Year,Water,0
C00413,Emma Davis,North,Monthly,Electricity + Gas,0
C00414,Xander Johnson,North,Annual,Electricity + Water,0
C00415,Noah Moore,West,Monthly,Water,1
C00416,Liam Miller,South,Monthly,Water,0
C00417,Adrian Garcia,Central,Monthly,Gas,1
C00418,Iris Johnson,Central,Monthly,Water,1
C00419,Paul Miller,West,Annual,Water,0
C00420,Tina White,Central,2-Year,Electricity + Water,1
C00421,Sam Garcia,West,Annual,Gas,0
C00422,Quinn Jackson,Central,2-Year,Water,0
C00423,Noah Clark,South,Monthly,Electricity + Gas,0
C00424,Grace Smith,West,Monthly,Electricity + Water,0
C00425,Tina Davis,North,Monthly,Electricity + Water,0
C00426,Cole Robinson,East,Monthly,Electricity + Gas,0
C00427,Adrian Martin,South,Monthly,Electricity + Gas,0
C00428,Zach Thompson,Central,2-Year,Water,1
C00429,Bob Johnson,South,Annual,Electricity + Gas,0
C00430,Uma Jones,Central,Monthly,Electricity + Gas,0
C00431,Rachel Thomas,Central,Monthly,Electricity + Gas,0
C00432,David Jones,South,Monthly,Electricity,0
C00433,Frank Clark,South,Monthly,Electricity + Gas,0
C00434,Fiona White,South,Monthly,Gas,0
C00435,Sam Williams,East,Monthly,Electricity,0
C00436,Diana Wilson,Central,Monthly,Gas,0
C00437,Mia Johnson,Central,Monthly,Gas,1
C00438,Tina Miller,West,2-Year,Gas,1
C00439,Uma Johnson,East,Annual,Electricity + Gas,0
C00440,James Davis,Central,Monthly,Electricity,0
C00441,Xander Johnson,South,Monthly,Gas,0
C00442,Karen Garcia,West,2-Year,Electricity,1
C00443,Rachel Jackson,South,Monthly,Electricity + Water,0
C00444,Zach Taylor,Central,Monthly,Gas,1
C00445,Liam White,East,Monthly,Electricity,0
C00446,Victor Garcia,East,Annual,Electricity,0
C00447,Mia Miller,Central,Monthly,Electricity + Gas,1
C00448,Iris Martin,Central,Annual,Electricity + Water,0
C00449,James Lewis,South,Monthly,Gas,0
C00450,Olivia Smith,East,Monthly,Electricity + Gas,0
C00451,Iris Smith,South,Monthly,Electricity + Water,0
C00452,Iris Taylor,Central,Annual,Electricity + Water,1
C00453,Zach Robinson,North,Annual,Gas,0
C00454,Grace Miller,South,Annual,Electricity + Gas,0
C00455,Noah Smith,Central,Monthly,Electricity + Water,0
C00456,Olivia Smith,East,Annual,Electricity + Gas,0
C00457,Olivia Miller,West,Monthly,Electricity,0
C00458,Quinn Jackson,North,Monthly,Water,0
C00459,Diana White,West,2-Year,Water,0
C00460,Emma Brown,Central,Annual,Electricity + Water,0
C00461,Beth White,North,Annual,Electricity + Water,0
C00462,Xander Smith,South,Monthly,Gas,0
C00463,Cole Jackson,East,Monthly,Electricity + Water,1
C00464,James Harris,North,2-Year,Gas,0
C00465,Wendy Taylor,South,Monthly,Gas,1
C00466,Paul Johnson,South,Annual,Water,0
C00467,Liam Wilson,East,Annual,Electricity + Gas,0
C00468,Xander Miller,Central,2-Year,Gas,0
C00469,David Williams,West,Monthly,Electricity,0
C00470,Liam Davis,East,Monthly,Electricity + Water,0
C00471,Quinn Harris,Central,Monthly,Water,1
C00472,Karen Davis,North,Annual,Water,0
C00473,Bob Miller,North,Annual,Gas,0
C00474,Rachel Jones,West,Annual,Gas,0
C00475,Carol Jones,East,Monthly,Electricity,0
C00476,Sam White,Central,Annual,Electricity,0
C00477,Emma Robinson,Central,Monthly,Gas,1
C00478,Bob Williams,West,2-Year,Water,0
C00479,Diana Garcia,East,Monthly,Electricity,1
C00480,Karen Jones,West,Monthly,Electricity + Gas,0
C00481,Sam Johnson,South,Annual,Electricity + Water,0
C00482,Xander Johnson,West,2-Year,Water,0
C00483,Cole Jackson,South,Monthly,Electricity + Gas,1
C00484,Quinn Thompson,East,Monthly,Electricity,1
C00485,Diana Brown,East,Annual,Electricity,0
C00486,Ethan Clark,East,2-Year,Electricity,0
C00487,Fiona Taylor,West,Annual,Electricity + Water,1
C00488,Quinn Jackson,South,Annual,Gas,0
C00489,Grace Lewis,Central,2-Year,Electricity + Water,0
C00490,Liam Wilson,East,Monthly,Gas,1
C00491,David Thomas,West,Monthly,Gas,1
C00492,Xander Clark,North,Monthly,Gas,0
C00493,Olivia Thompson,West,Monthly,Water,0
C00494,Cole Jones,North,Annual,Gas,0
C00495,Ethan Clark,South,Monthly,Water,1
C00496,James Taylor,East,Annual,Electricity + Water,0
C00497,Emma Garcia,East,Annual,Electricity,0
C00498,James Taylor,South,2-Year,Electricity,0
C00499,Carol Robinson,North,Annual,Electricity + Water,0
C00500,Victor Thomas,West,Monthly,Electricity + Gas,0
C00501,Zach Thompson,West,Monthly,Water,1
C00502,Sam Wilson,West,Monthly,Gas,0
C00503,James Davis,South,Annual,Electricity + Gas,0
C00504,Fiona Davis,Central,Annual,Gas,0
C00505,Mia White,North,Monthly,Electricity + Gas,0
C00506,Emma Garcia,East,Monthly,Electricity + Gas,1
C00507,Grace Jones,North,Annual,Electricity + Water,0
C00508,Frank Williams,Central,Monthly,Electricity + Water,1
C00509,David Brown,South,Monthly,Electricity + Gas,0
C00510,Diana Martin,West,Monthly,Water,0
C00511,Carol Davis,East,Annual,Electricity + Water,0
C00512,Wendy Thompson,Central,Annual,Water,0
C00513,Adrian Lewis,North,2-Year,Gas,0
C00514,David Williams,East,Monthly,Electricity + Water,1
C00515,Diana Johnson,South,Monthly,Water,0
C00516,Fiona Moore,West,Monthly,Gas,0
C00517,Carol Clark,North,2-Year,Electricity + Water,0
C00518,Olivia Lewis,South,Monthly,Water,0
C00519,James Anderson,South,Monthly,Electricity + Water,0
C00520,Grace Robinson,Central,2-Year,Electricity,0
C00521,Quinn Anderson,North,Monthly,Gas,0
C00522,Liam Lewis,West,Annual,Electricity,0
C00523,Uma Brown,East,Monthly,Electricity,0
C00524,Fiona Brown,West,Monthly,Electricity + Gas,0
C00525,Liam Garcia,East,2-Year,Electricity,0
C00526,James Harris,North,Annual,Water,0
C00527,Yara Wilson,South,Annual,Water,0
C00528,Paul Davis,East,Monthly,Water,0
C00529,Diana Garcia,South,Annual,Electricity + Gas,0
C00530,Karen Smith,Central,Monthly,Gas,1
C00531,Xander Moore,East,2-Year,Gas,0
C00532,James Jones,Central,Annual,Electricity + Water,0
C00533,Henry Thomas,North,2-Year,Electricity + Gas,0
C00534,Liam Thomas,Central,Monthly,Gas,0
C00535,Uma Wilson,South,Annual,Gas,1
